species,gene_id,timepoints_observed,consistent_exon_per_tp,different_exons_across_tp
Acropora pulchra,FUN_019370,2,TRUE,TRUE
Acropora pulchra,FUN_019375,2,TRUE,TRUE
Acropora pulchra,FUN_019400,2,TRUE,TRUE
Acropora pulchra,FUN_019453,3,TRUE,TRUE
Acropora pulchra,FUN_019461,4,TRUE,TRUE
Acropora pulchra,FUN_019462,4,TRUE,TRUE
Acropora pulchra,FUN_019487,4,TRUE,TRUE
Acropora pulchra,FUN_019491,3,TRUE,TRUE
Acropora pulchra,FUN_019567,2,TRUE,TRUE
Acropora pulchra,FUN_019585,4,TRUE,TRUE
Acropora pulchra,FUN_019596,2,TRUE,TRUE
Acropora pulchra,FUN_019724,3,TRUE,TRUE
Acropora pulchra,FUN_019761,2,TRUE,TRUE
Acropora pulchra,FUN_019867,2,TRUE,TRUE
Acropora pulchra,FUN_019877,3,TRUE,TRUE
Acropora pulchra,FUN_020012,2,TRUE,TRUE
Acropora pulchra,FUN_020025,3,TRUE,TRUE
Acropora pulchra,FUN_020092,2,TRUE,TRUE
Acropora pulchra,FUN_020597,4,TRUE,TRUE
Acropora pulchra,FUN_020737,2,TRUE,TRUE
Acropora pulchra,FUN_020750,2,TRUE,TRUE
Acropora pulchra,FUN_020769,2,TRUE,TRUE
Acropora pulchra,FUN_020805,4,TRUE,TRUE
Acropora pulchra,FUN_020816,3,TRUE,TRUE
Acropora pulchra,FUN_020818,3,TRUE,TRUE
Acropora pulchra,FUN_020831,2,TRUE,TRUE
Acropora pulchra,FUN_020871,4,TRUE,TRUE
Acropora pulchra,FUN_020878,3,TRUE,TRUE
Acropora pulchra,FUN_020885,3,TRUE,TRUE
Acropora pulchra,FUN_020887,2,TRUE,TRUE
Acropora pulchra,FUN_020900,2,TRUE,TRUE
Acropora pulchra,FUN_020904,3,TRUE,TRUE
Acropora pulchra,FUN_020905,2,TRUE,TRUE
Acropora pulchra,FUN_020912,3,TRUE,TRUE
Acropora pulchra,FUN_020917,3,TRUE,TRUE
Acropora pulchra,FUN_020933,3,TRUE,TRUE
Acropora pulchra,FUN_020958,3,TRUE,TRUE
Acropora pulchra,FUN_020998,4,TRUE,TRUE
Acropora pulchra,FUN_020999,4,TRUE,TRUE
Acropora pulchra,FUN_021071,2,TRUE,TRUE
Acropora pulchra,FUN_021075,2,TRUE,TRUE
Acropora pulchra,FUN_021080,3,TRUE,TRUE
Acropora pulchra,FUN_021085,2,TRUE,TRUE
Acropora pulchra,FUN_021090,3,TRUE,TRUE
Acropora pulchra,FUN_021116,3,TRUE,TRUE
Acropora pulchra,FUN_021142,3,TRUE,TRUE
Acropora pulchra,FUN_021173,3,TRUE,TRUE
Acropora pulchra,FUN_021180,2,TRUE,TRUE
Acropora pulchra,FUN_021191,3,TRUE,TRUE
Acropora pulchra,FUN_021793,3,TRUE,TRUE
Acropora pulchra,FUN_021828,3,TRUE,TRUE
Acropora pulchra,FUN_021834,3,TRUE,TRUE
Acropora pulchra,FUN_021936,4,TRUE,TRUE
Acropora pulchra,FUN_021944,2,TRUE,TRUE
Acropora pulchra,FUN_021975,3,TRUE,TRUE
Acropora pulchra,FUN_021980,3,TRUE,TRUE
Acropora pulchra,FUN_021984,4,TRUE,TRUE
Acropora pulchra,FUN_022023,2,TRUE,TRUE
Acropora pulchra,FUN_022062,3,TRUE,TRUE
Acropora pulchra,FUN_022100,3,TRUE,TRUE
Acropora pulchra,FUN_022139,3,TRUE,TRUE
Acropora pulchra,FUN_022142,3,TRUE,TRUE
Acropora pulchra,FUN_022360,3,TRUE,TRUE
Acropora pulchra,FUN_022381,4,TRUE,TRUE
Acropora pulchra,FUN_022399,3,TRUE,TRUE
Acropora pulchra,FUN_022460,2,TRUE,TRUE
Acropora pulchra,FUN_022555,4,TRUE,TRUE
Acropora pulchra,FUN_022680,4,TRUE,TRUE
Acropora pulchra,FUN_022884,4,TRUE,TRUE
Acropora pulchra,FUN_022885,4,TRUE,TRUE
Acropora pulchra,FUN_022973,3,TRUE,TRUE
Acropora pulchra,FUN_023030,4,TRUE,TRUE
Acropora pulchra,FUN_023148,3,TRUE,TRUE
Acropora pulchra,FUN_023385,2,TRUE,TRUE
Acropora pulchra,FUN_023425,4,TRUE,TRUE
Acropora pulchra,FUN_023460,2,TRUE,TRUE
Acropora pulchra,FUN_023463,4,TRUE,TRUE
Acropora pulchra,FUN_023490,4,TRUE,TRUE
Acropora pulchra,FUN_023536,4,TRUE,TRUE
Acropora pulchra,FUN_023540,4,TRUE,TRUE
Acropora pulchra,FUN_023541,4,TRUE,TRUE
Acropora pulchra,FUN_023678,4,TRUE,TRUE
Acropora pulchra,FUN_023776,2,TRUE,TRUE
Acropora pulchra,FUN_023841,2,TRUE,TRUE
Acropora pulchra,FUN_023843,3,TRUE,TRUE
Acropora pulchra,FUN_023854,3,TRUE,TRUE
Acropora pulchra,FUN_023876,2,TRUE,TRUE
Acropora pulchra,FUN_023905,2,TRUE,TRUE
Acropora pulchra,FUN_023910,2,TRUE,TRUE
Acropora pulchra,FUN_024227,4,TRUE,TRUE
Acropora pulchra,FUN_024580,2,TRUE,TRUE
