gene_id,regulation,is_biomin
Peve_00035894,lncRNA_only,False
Peve_00043574,lncRNA_only,False
Peve_00010733,lncRNA_only,False
Peve_00009629,lncRNA_only,False
Peve_00040215,lncRNA_only,False
Peve_00011719,lncRNA_only,False
Peve_00017897,lncRNA_only,False
Peve_00035987,lncRNA_only,False
Peve_00019366,lncRNA_only,False
Peve_00017289,lncRNA_only,False
Peve_00004005,lncRNA_only,False
Peve_00015412,lncRNA_only,False
Peve_00022563,lncRNA_only,False
Peve_00038019,lncRNA_only,False
Peve_00021506,lncRNA_only,False
Peve_00003801,lncRNA_only,False
Peve_00018347,lncRNA_only,False
Peve_00022929,lncRNA_only,False
Peve_00023538,lncRNA_only,False
Peve_00041539,lncRNA_only,False
Peve_00031294,lncRNA_only,False
Peve_00044012,lncRNA_only,False
Peve_00036286,lncRNA_only,False
Peve_00034526,lncRNA_only,False
Peve_00005636,lncRNA_only,False
Peve_00013838,lncRNA_only,False
Peve_00033049,lncRNA_only,False
Peve_00006476,lncRNA_only,False
Peve_00029595,lncRNA_only,False
Peve_00005965,lncRNA_only,False
Peve_00001001,lncRNA_only,False
Peve_00017846,lncRNA_only,False
Peve_00033052,lncRNA_only,False
Peve_00026540,lncRNA_only,False
Peve_00021180,lncRNA_only,False
Peve_00019351,lncRNA_only,False
Peve_00036790,lncRNA_only,False
Peve_00001735,lncRNA_only,False
Peve_00037390,lncRNA_only,False
Peve_00000404,lncRNA_only,False
Peve_00044554,lncRNA_only,False
Peve_00032052,lncRNA_only,False
Peve_00001906,lncRNA_only,False
Peve_00026034,lncRNA_only,False
Peve_00005574,lncRNA_only,False
Peve_00038538,lncRNA_only,False
Peve_00031213,lncRNA_only,False
Peve_00014444,lncRNA_only,False
Peve_00037116,lncRNA_only,False
Peve_00033164,lncRNA_only,False
Peve_00038576,lncRNA_only,False
Peve_00022375,lncRNA_only,False
Peve_00000939,lncRNA_only,False
Peve_00028570,lncRNA_only,False
Peve_00034066,lncRNA_only,False
Peve_00018431,lncRNA_only,False
Peve_00044184,lncRNA_only,False
Peve_00006979,lncRNA_only,False
Peve_00031471,lncRNA_only,False
Peve_00038600,lncRNA_only,False
Peve_00039751,lncRNA_only,False
Peve_00009403,lncRNA_only,False
Peve_00026477,lncRNA_only,False
Peve_00023183,lncRNA_only,False
Peve_00018230,lncRNA_only,False
Peve_00021406,lncRNA_only,False
Peve_00027352,lncRNA_only,False
Peve_00039087,lncRNA_only,False
Peve_00015427,lncRNA_only,False
Peve_00010382,lncRNA_only,False
Peve_00038718,lncRNA_only,False
Peve_00018843,lncRNA_only,False
Peve_00002931,lncRNA_only,False
Peve_00013443,lncRNA_only,False
Peve_00004692,lncRNA_only,False
Peve_00033822,lncRNA_only,False
Peve_00028101,lncRNA_only,False
Peve_00011632,lncRNA_only,False
Peve_00010138,lncRNA_only,False
Peve_00018397,lncRNA_only,False
Peve_00017013,lncRNA_only,False
Peve_00015662,lncRNA_only,False
Peve_00021653,lncRNA_only,False
Peve_00040297,lncRNA_only,False
Peve_00012018,lncRNA_only,False
Peve_00018353,lncRNA_only,False
Peve_00003054,lncRNA_only,False
Peve_00026742,lncRNA_only,False
Peve_00032333,lncRNA_only,False
Peve_00008036,lncRNA_only,False
Peve_00009071,lncRNA_only,False
Peve_00027620,lncRNA_only,False
Peve_00039248,lncRNA_only,False
Peve_00031024,lncRNA_only,False
Peve_00017641,lncRNA_only,False
Peve_00042067,lncRNA_only,False
Peve_00038681,lncRNA_only,True
Peve_00011117,lncRNA_only,False
Peve_00017944,lncRNA_only,False
Peve_00031459,lncRNA_only,False
Peve_00036667,lncRNA_only,False
Peve_00006348,lncRNA_only,False
Peve_00002279,lncRNA_only,False
Peve_00017258,lncRNA_only,False
Peve_00003034,lncRNA_only,True
Peve_00018829,lncRNA_only,True
Peve_00039878,lncRNA_only,False
Peve_00012514,lncRNA_only,False
Peve_00004611,lncRNA_only,False
Peve_00000945,lncRNA_only,False
Peve_00038048,lncRNA_only,False
Peve_00015138,lncRNA_only,False
Peve_00005696,lncRNA_only,False
Peve_00010785,lncRNA_only,False
Peve_00019362,lncRNA_only,False
Peve_00004641,lncRNA_only,False
