feature,id,pval,qval
exon,128421,1.8982121985366973e-8,1.0218044802642403e-5
exon,62497,1.904192115098624e-8,1.0221997033514552e-5
exon,58949,1.911586666736298e-8,1.023350066557423e-5
exon,199165,1.9186946920157766e-8,1.024341157438253e-5
exon,129730,1.9290750330469564e-8,1.0270690634963445e-5
exon,31559,1.944485128468898e-8,1.0324527249971752e-5
exon,184116,1.9586116062342285e-8,1.0371274240142029e-5
exon,129724,1.9665984507533096e-8,1.0385345271208481e-5
exon,26046,2.0681133472422175e-8,1.0775423510615172e-5
exon,39342,2.0605216421998307e-8,1.0775423510615172e-5
exon,56743,2.06557924098405e-8,1.0775423510615172e-5
exon,124792,2.057028347657308e-8,1.0775423510615172e-5
exon,181053,2.0542345380292204e-8,1.0775423510615172e-5
exon,12334,2.0759261198932677e-8,1.0787287131383513e-5
exon,119953,2.092226036864986e-8,1.0843072724671772e-5
exon,132385,2.1174081155095337e-8,1.0944472546966837e-5
exon,5686,2.1742751377118452e-8,1.1179101594593167e-5
exon,25822,2.16902296124033e-8,1.1179101594593167e-5
exon,100219,2.1821492390827757e-8,1.1190061298016472e-5
exon,163361,2.1949173589774773e-8,1.1225994127028534e-5
exon,44227,2.2104607588779857e-8,1.1275895950732978e-5
exon,9677,2.2660288090392555e-8,1.1529175922836175e-5
exon,165722,2.287538802825395e-8,1.1608306283171036e-5
exon,176653,2.304420476662017e-8,1.1663599786084865e-5
exon,134793,2.3499180823449706e-8,1.181257167983399e-5
exon,134794,2.3520392744558194e-8,1.181257167983399e-5
exon,179682,2.346608551917484e-8,1.181257167983399e-5
exon,181051,2.359881734470548e-8,1.1821490856192002e-5
exon,179569,2.3868519605230176e-8,1.1925936421419419e-5
exon,106493,2.416655320303107e-8,1.2013242916723078e-5
exon,132384,2.4138436582887834e-8,1.2013242916723078e-5
exon,54924,2.4284236177507523e-8,1.2041026459271821e-5
exon,76537,2.459226111639623e-8,1.2162808046155926e-5
exon,69903,2.485784955652548e-8,1.226303796451337e-5
exon,151161,2.501247098329884e-8,1.2308156933559458e-5
exon,168513,2.508952645641216e-8,1.2314976028721157e-5
exon,175276,2.5180688867365575e-8,1.2328667727262125e-5
exon,197501,2.5321611585304993e-8,1.236659278185181e-5
exon,112461,2.545399069298071e-8,1.2400166105992484e-5
exon,176052,2.5559433236566065e-8,1.2420482289801022e-5
exon,141023,2.590388081813444e-8,1.2556551820261069e-5
exon,1841,2.6090478111306936e-8,1.2584393382875531e-5
exon,139538,2.605811189049234e-8,1.2584393382875531e-5
exon,175345,2.6520662999018896e-8,1.2760302406520538e-5
exon,62542,2.6692703714026322e-8,1.281144585352223e-5
exon,156183,2.687570010984075e-8,1.2848689108755842e-5
exon,165721,2.6902173599907542e-8,1.2848689108755842e-5
exon,83474,2.7095165000545762e-8,1.2909223062753911e-5
exon,160420,2.739421134378972e-8,1.2988188806073577e-5
exon,197538,2.736363557964694e-8,1.2988188806073577e-5
exon,33937,2.754402717020099e-8,1.2995978960034009e-5
exon,204836,2.7505347999223773e-8,1.2995978960034009e-5
exon,109210,2.7838463090290588e-8,1.3103174569145858e-5
exon,106536,2.8064814916461955e-8,1.317788456356974e-5
exon,151159,2.819032207668215e-8,1.3204997406611996e-5
exon,97711,2.85152106371811e-8,1.332515109257472e-5
exon,103661,2.8601883084178326e-8,1.3333677859606041e-5
exon,20485,2.909354457347746e-8,1.349829635658598e-5
exon,42440,2.9046663629905822e-8,1.349829635658598e-5
exon,183218,2.9418734559527593e-8,1.361675128552918e-5
exon,197534,2.9692453606955382e-8,1.3710877439966241e-5
exon,201253,3.0308723975025487e-8,1.396236214815453e-5
exon,71898,3.072733756326329e-8,1.4121820535206928e-5
exon,176640,3.08533053550164e-8,1.4146349399293921e-5
exon,1839,3.11469388059038e-8,1.4225138848056733e-5
exon,143354,3.124414682531551e-8,1.4225138848056733e-5
exon,201210,3.122183711568027e-8,1.4225138848056733e-5
exon,141024,3.162113637600328e-8,1.4363219391080426e-5
exon,83736,3.2124379822917604e-8,1.4557872441425618e-5
exon,4723,3.251855296149131e-8,1.4653598298482345e-5
exon,38626,3.263641135120565e-8,1.4653598298482345e-5
